Product code;Language;Vendor;Product id;my_first_cscart_module_setting;Category;Price
"D00014MK1P";"ru";"Simtech";"1";"123";"Electronics///TV & Video///LED TVs";"699.99"
"E0004UBR1Y";"ru";"Simtech";"4";"124";"Electronics///TV & Video///LED TVs";"5399.99"
"B0005QJH6U";"ru";"Simtech";"5";"125";"Electronics///TV & Video///Plasma TVs";"30.00"
"T0006UROBG";"ru";"Simtech";"6";"126";"Electronics///TV & Video///Plasma TVs";"199.99"
"A0007DQ1TL";"ru";"Simtech";"7";"127";"Apparel///Men's Clothing";"899.99"
"W0008TGVI1";"ru";"Simtech";"8";"128";"Electronics///TV & Video///3D TVs";"329.99"
"F0009ORD06";"ru";"Simtech";"9";"129";"Electronics///TV & Video///3D TVs";"55.00"
"L00102FQ97";"ru";"Simtech";"10";"130";"Electronics///TV & Video///3D TVs";"849.99"
"Z0011CZSNI";"ru";"Simtech";"11";"131";"Apparel///Men's Clothing";"999.99"
"U0012O5AF0";"ru";"Simtech";"12";"132";"Apparel///Men's Clothing";"1199.99"
"J00133PNYZ";"ru";"Simtech";"13";"133";"Books///Business & Investing";"11.96"
"M0014IVPFH";"ru";"Simtech";"14";"134";"Electronics///TV & Video///Plasma TVs";"499.99"
"H0015EXYM6";"ru";"ACME Corp";"15";"135";"Apparel///Men's Clothing";"150.00"
"H00162EP2P";"ru";"Simtech";"16";"136";"Electronics///TV & Video///DVD & Blu-ray Players";"349.99"
"G0017HS88V";"ru";"Simtech";"17";"137";"Books///Business & Investing";"11.16"
"W0018W504I";"ru";"Simtech";"18";"138";"Electronics///TV & Video///DVD & Blu-ray Players";"299.99"
"J001933ZYZ";"ru";"Simtech";"19";"139";"Electronics///TV & Video///DVD & Blu-ray Players";"79.99"
"M00209NIOG";"ru";"Simtech";"20";"140";"Books///Business & Investing";"19.95"
"J00216UKRV";"ru";"Simtech";"21";"141";"Electronics///TV & Video///DVD & Blu-ray Players";"29.99"
"F0022TLB3Q";"ru";"Simtech";"22";"142";"Electronics///TV & Video///Home Theater Systems";"799.99"
"G0023968XZ";"ru";"Simtech";"23";"143";"Electronics///TV & Video///Home Theater Systems";"599.99"
"R0024KODQ2";"ru";"Simtech";"24";"144";"Electronics///TV & Video///Home Theater Systems";"449.99"
"R0025KFF65";"ru";"Simtech";"25";"145";"Electronics///TV & Video///Home Theater Systems";"599.99"
"K00264EGJK";"ru";"Simtech";"26";"146";"Books///Computing & Internet";"34.99"
"G0027IR79N";"ru";"Simtech";"27";"147";"Apparel///Women's Clothing";"55.00"
"R0028P1EHQ";"ru";"Simtech";"28";"148";"Apparel///Women's Clothing";"100.00"
"T0029EAW9R";"ru";"Simtech";"29";"149";"Electronics///Car Electronics///GPS & Navigation";"199.95"
"H00305TUE7";"ru";"Simtech";"30";"150";"Electronics///Car Electronics///GPS & Navigation";"349.95"
"D0031VJD0L";"ru";"Simtech";"31";"151";"Apparel///Women's Clothing";"32.00"
"T0032Q3082";"ru";"Simtech";"32";"152";"Electronics///Car Electronics///GPS & Navigation";"299.99"
"W00336L5NA";"ru";"Simtech";"33";"153";"Electronics///Car Electronics///GPS & Navigation";"169.99"
"W00341JAWN";"ru";"Simtech";"34";"154";"Apparel///Women's Clothing";"25.00"
"Z0035X590V";"ru";"Simtech";"35";"155";"Books///Computing & Internet";"31.99"
"B0036NZ0FU";"ru";"Simtech";"36";"156";"Books///Computing & Internet";"51.00"
"L00379540B";"ru";"Simtech";"37";"157";"Electronics///Car Electronics///In-Dash Stereos";"159.95"
"U003826PEJ";"ru";"Simtech";"38";"158";"Apparel///Women's Clothing";"16.97"
"X0039CB6XW";"ru";"Simtech";"39";"159";"Electronics///Car Electronics///In-Dash Stereos";"419.00"
"A0040LYF7M";"ru";"Simtech";"40";"160";"Electronics///Car Electronics///In-Dash Stereos";"229.00"
"I0041AGKCY";"ru";"Simtech";"41";"161";"Apparel///Women's Clothing";"35.00"
"K0042BKTKR";"ru";"Simtech";"42";"162";"Electronics///Car Electronics///In-Dash Stereos";"79.00"
"N0043XCGKY";"ru";"Simtech";"43";"163";"Electronics///Car Electronics///In-Dash Stereos";"369.00"
"A0044UQ78W";"ru";"Simtech";"44";"164";"Books///Education";"25.00"
"Q0045PT1DZ";"ru";"Simtech";"45";"165";"Books///Education";"74.00"
"T00466CBMY";"ru";"Simtech";"46";"166";"Books///Education";"21.00"
"J0047KCW09";"ru";"Simtech";"47";"167";"Video Games///PlayStation 3";"29.99"
"O0048N7QAG";"ru";"Simtech";"48";"168";"Electronics///Car Electronics///Speakers";"180.00"
"Q0049IN199";"ru";"Simtech";"49";"169";"Electronics///Car Electronics///Speakers";"120.00"
"V0050M1GB0";"ru";"Simtech";"50";"170";"Electronics///Car Electronics///Speakers";"220.00"
"H0051EAJD8";"ru";"Simtech";"51";"171";"Electronics///Car Electronics///Speakers";"180.00"
"I0052GDLN3";"ru";"Simtech";"52";"172";"Electronics///Car Electronics///Subwoofers";"139.99"
"B0053N10L0";"ru";"Simtech";"53";"173";"Electronics///Car Electronics///Subwoofers";"38.99"
"I0054QMMPO";"ru";"Simtech";"54";"174";"Electronics///Car Electronics///Subwoofers";"269.00"
"N005510VYI";"ru";"Simtech";"55";"175";"Electronics///Car Electronics///Amplifiers";"359.00"
"L0056LL3EL";"ru";"Simtech";"56";"176";"Electronics///Car Electronics///Amplifiers";"220.00"
"R0057SFAR6";"ru";"Simtech";"57";"177";"Electronics///Car Electronics///Amplifiers";"309.00"
"I0058SG177";"ru";"Simtech";"58";"178";"Electronics///Car Electronics///Car DVD & Video";"779.00"
"Q0059PALYI";"ru";"Simtech";"59";"179";"Electronics///Car Electronics///Car DVD & Video";"599.00"
"O0060X7Y9Y";"ru";"Simtech";"60";"180";"Electronics///Car Electronics///GPS & Navigation";"1499.00"
"F00620YZ55";"ru";"Simtech";"62";"181";"Electronics///Car Electronics///Radar Detectors";"209.95"
"J0063Z8JWN";"ru";"Simtech";"63";"182";"Electronics///Car Electronics///Radar Detectors";"189.95"
"V0064ZVR98";"ru";"Simtech";"64";"183";"Electronics///Car Electronics///Radar Detectors";"189.95"
"O0065SHTHB";"ru";"Simtech";"65";"184";"Electronics///Car Electronics///Radar Detectors";"99.95"
"B00666E71X";"ru";"Simtech";"66";"185";"Electronics///Car Electronics///Radar Detectors";"389.95"
"J00670N9NC";"ru";"Simtech";"67";"186";"Electronics///Cell Phones///HTC";"339.99"
"U00684Y11J";"ru";"Simtech";"68";"187";"Electronics///Cell Phones///HTC";"799.99"
"U0069R50SC";"ru";"Simtech";"69";"188";"Electronics///Cell Phones///HTC";"529.99"
"Y0070SQYFT";"ru";"Simtech";"70";"189";"Electronics///Cell Phones///HTC";"499.99"
"O0071FR7HZ";"ru";"Simtech";"71";"190";"Electronics///Cell Phones///HTC";"529.99"
"N007221KA0";"ru";"Simtech";"72";"191";"Electronics///Cell Phones///Motorola";"599.99"
"M0073Q30SG";"ru";"Simtech";"73";"192";"Electronics///Cell Phones///Motorola";"589.99"
"S0074AE6U7";"ru";"Simtech";"74";"193";"Electronics///Cell Phones///Motorola";"524.99"
"B00755AJUD";"ru";"Simtech";"75";"194";"Electronics///Cell Phones///Motorola";"489.99"
"W00769N690";"ru";"Simtech";"76";"195";"Electronics///Cell Phones///Motorola";"439.99"
"L0078RO9Y9";"ru";"Simtech";"78";"196";"Apparel///Shoes";"100.00"
"Z0079TIUPW";"ru";"Simtech";"79";"197";"Apparel///Shoes";"96.00"
"M0080Z1B49";"ru";"Simtech";"80";"198";"Apparel///Shoes";"55.00"
"Y0081TT6SI";"ru";"Simtech";"81";"199";"Apparel///Shoes";"49.50"
"S0082Z8OYM";"ru";"Simtech";"82";"200";"Video Games///Nintendo Wii";"19.99"
"X0083AILW7";"ru";"Simtech";"83";"201";"Video Games///Nintendo Wii";"19.99"
"P0084TFPRL";"ru";"Simtech";"84";"202";"Video Games///Nintendo Wii";"19.99"
"W0085XKO7V";"ru";"Simtech";"85";"203";"Video Games///Nintendo Wii";"19.99"
"I0086KA0W2";"ru";"Simtech";"86";"204";"Electronics///Cell Phones///Nokia";"359.00"
"U008775P3X";"ru";"Simtech";"87";"205";"Video Games///Nintendo Wii";"19.99"
"E0088Z4YB8";"ru";"Simtech";"88";"206";"Video Games///PlayStation 3";"39.99"
"O0089OKQAX";"ru";"Simtech";"89";"207";"Video Games///PlayStation 3";"19.99"
"Y0090CLU50";"ru";"Simtech";"90";"208";"Video Games///PlayStation 3";"19.99"
"W00918CYVW";"ru";"Simtech";"91";"209";"Apparel///Watches & Jewelry";"10700.00"
"I00927PN4T";"ru";"Simtech";"92";"210";"Apparel///Watches & Jewelry";"3225.00"
"Y0093T69G8";"ru";"Simtech";"93";"211";"Video Games///X-Box One";"19.99"
"A0094VY6U3";"ru";"Simtech";"94";"212";"Video Games///X-Box One";"59.99"
"S0095VELIH";"ru";"Simtech";"95";"213";"Video Games///X-Box One";"19.99"
"C0096T88CH";"ru";"Simtech";"96";"214";"Video Games///X-Box One";"99.99"
